so this is technically from the find-commas script, but it's this:
make find-commas -- --max-n2d3p9 1259 --max-2-3-free-sopfr 127 --max-2-3-free-copfr 9999 --max-prime-limit 127 --upper-bound 56.8425030289c
so the idea was to just try to get basically the top N2D3P9 2,3-free classes up to 1259 (previously went as high as 307)
only constraint being that SoPF>3 of 127...
and this just doing a ton of duplication w/r/t each 2,3-free class, including every comma-sized thing, rather than just the LATE or LAAS comma for each 2,3-free class

sagittal  	name     	2,3-free class name           	pev                                                                                                                          	cents  	apotome slope	limit  	2,3-free SoPFR	N2D3P9
        	689C     	2067/2048                  	[ -11   1   0   0   0   1   0   0   0   0   0   0   0   0   0   1 ⟩                                                            	 15.987	  0.016      	 53    	 66          	1014.36
        	689S     	1098488547/1073741824      	[ -30  13   0   0   0   1   0   0   0   0   0   0   0   0   0   1 ⟩                                                            	 39.447	 10.571      	 53    	 66          	1014.36
        	119/325M 	243712/236925              	[  11  -6  -2   1   0  -1   1 ⟩                                                                                                	 48.896	 -9.011      	 17    	 47          	1014.62
        	91/425C  	11648/11475                	[   7  -3  -2   1   0   1  -1 ⟩                                                                                                	 25.906	 -4.595      	 17    	 47          	1014.62
        	91/425M  	1791153/1740800            	[ -12   9  -2   1   0   1  -1 ⟩                                                                                                	 49.366	  5.960      	 17    	 47          	1014.62
        	1547/25C 	6188/6075                  	[   2  -5  -2   1   0   1   1 ⟩                                                                                                	 31.907	 -6.965      	 17    	 47          	1014.62
        	1547/25M 	3383289/3276800            	[ -17   7  -2   1   0   1   1 ⟩                                                                                                	 55.367	  3.591      	 17    	 47          	1014.62
        	325/119C 	21299200/21080493          	[  16 -11   2  -1   0   1  -1 ⟩                                                                                                	 17.869	-12.100      	 17    	 47          	1014.62
        	325/119S 	975/952                    	[  -3   1   2  -1   0   1  -1 ⟩                                                                                                	 41.329	 -1.545      	 17    	 47          	1014.62
        	3125/77s 	6250/6237                  	[   1  -4   5  -1  -1 ⟩                                                                                                        	  3.605	 -4.222      	 11    	 43          	1021.17
        	3125/77C 	20503125/20185088          	[ -18   8   5  -1  -1 ⟩                                                                                                        	 27.065	  6.334      	 11    	 43          	1021.17
        	84035C   	84035/82944                	[ -10  -4   1   5 ⟩                                                                                                            	 22.623	 -5.393      	  7    	 40          	1021.26
        	84035M   	551353635/536870912        	[ -29   8   1   5 ⟩                                                                                                            	 46.083	  5.162      	  7    	 40          	1021.26
        	1/5075C  	33554432/33297075          	[  25  -8  -2  -1   0   0   0   0   0  -1 ⟩                                                                                    	 13.329	 -8.821      	 29    	 46          	1022.05
        	1/5075S  	5184/5075                  	[   6   4  -2  -1   0   0   0   0   0  -1 ⟩                                                                                    	 36.789	  1.735      	 29    	 46          	1022.05
        	5075M    	20300/19683                	[   2  -9   2   1   0   0   0   0   0   1 ⟩                                                                                    	 53.436	-12.290      	 29    	 46          	1022.05
        	31/115C  	253952/251505              	[  13  -7  -1   0   0   0   0   0  -1   0   1 ⟩                                                                                	 16.763	 -8.032      	 31    	 59          	1023.29
        	31/115S  	7533/7360                  	[  -6   5  -1   0   0   0   0   0  -1   0   1 ⟩                                                                                	 40.223	  2.523      	 31    	 59          	1023.29
        	23/155s  	621/620                    	[  -2   3  -1   0   0   0   0   0   1   0  -1 ⟩                                                                                	  2.790	  2.828      	 31    	 59          	1023.29
        	23/155C  	330024861/325058560        	[ -21  15  -1   0   0   0   0   0   1   0  -1 ⟩                                                                                	 26.250	 13.384      	 31    	 59          	1023.29
        	713/5k   	42101937/41943040          	[ -23  10  -1   0   0   0   0   0   1   0   1 ⟩                                                                                	  6.546	  9.597      	 31    	 59          	1023.29
        	5/713C   	720/713                    	[   4   2   1   0   0   0   0   0  -1   0  -1 ⟩                                                                                	 16.914	  0.959      	 31    	 59          	1023.29
        	5/713S   	23914845/23363584          	[ -15  14   1   0   0   0   0   0  -1   0  -1 ⟩                                                                                	 40.374	 11.514      	 31    	 59          	1023.29
        	155/23C  	3050865/3014656            	[ -17   9   1   0   0   0   0   0  -1   0   1 ⟩                                                                                	 20.670	  7.727      	 31    	 59          	1023.29
        	115/31M  	1884160/1830519            	[  14 -10   1   0   0   0   0   0   1   0  -1 ⟩                                                                                	 50.002	-13.079      	 31    	 59          	1023.29
        	19/1225k 	10097379/10035200          	[ -13  12  -2  -2   0   0   0   1 ⟩                                                                                            	 10.694	 11.342      	 19    	 43          	1023.67
        	1225/19C 	1225/1216                  	[  -6   0   2   2   0   0   0  -1 ⟩                                                                                            	 12.766	 -0.786      	 19    	 43          	1023.67
        	1225/19S 	651015225/637534208        	[ -25  12   2   2   0   0   0  -1 ⟩                                                                                            	 36.226	  9.769      	 19    	 43          	1023.67
        	23/209k  	110008287/109576192        	[ -19  14   0   0  -1   0   0  -1   1 ⟩                                                                                        	  6.813	 13.580      	 23    	 53          	1023.71
        	19/253n  	4980736/4979799            	[  18  -9   0   0  -1   0   0   1  -1 ⟩                                                                                        	  0.326	 -9.020      	 23    	 53          	1023.71
        	19/253C  	513/506                    	[  -1   3   0   0  -1   0   0   1  -1 ⟩                                                                                        	 23.786	  1.535      	 23    	 53          	1023.71
        	19/253M  	272629233/265289728        	[ -20  15   0   0  -1   0   0   1  -1 ⟩                                                                                        	 47.246	 12.091      	 23    	 53          	1023.71
        	11/437k  	2883584/2867157            	[  18  -8   0   0   1   0   0  -1  -1 ⟩                                                                                        	  9.891	 -8.609      	 23    	 53          	1023.71
        	11/437C  	891/874                    	[  -1   4   0   0   1   0   0  -1  -1 ⟩                                                                                        	 33.351	  1.946      	 23    	 53          	1023.71
        	209/23C  	209/207                    	[   0  -2   0   0   1   0   0   1  -1 ⟩                                                                                        	 16.647	 -3.025      	 23    	 53          	1023.71
        	209/23S  	12341241/12058624          	[ -19  10   0   0   1   0   0   1  -1 ⟩                                                                                        	 40.107	  7.530      	 23    	 53          	1023.71
        	89/7k    	7209/7168                  	[ -10   4   0  -1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1 ⟩                            	  9.874	  3.392      	 89    	 96          	1026.80
        	7/89C    	45927/45568                	[  -9   8   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  -1 ⟩                            	 13.586	  7.163      	 89    	 96          	1026.80
        	71/11C   	72704/72171                	[  10  -8   0   0  -1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1 ⟩                                            	 12.739	 -8.784      	 71    	 82          	1026.87
        	71/11S   	5751/5632                  	[  -9   4   0   0  -1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1 ⟩                                            	 36.199	  1.771      	 71    	 82          	1026.87
        	11/71M   	1441792/1397493            	[  17  -9   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0  -1 ⟩                                            	 54.026	-12.327      	 71    	 82          	1026.87
        	1/2387C  	65536/64449                	[  16  -3   0  -1  -1   0   0   0   0   0  -1 ⟩                                                                                	 28.956	 -4.783      	 31    	 49          	1027.74
        	1/2387M  	19683/19096                	[  -3   9   0  -1  -1   0   0   0   0   0  -1 ⟩                                                                                	 52.416	  5.773      	 31    	 49          	1027.74
        	49/15625s	102760448/102515625        	[  21  -8  -6   2 ⟩                                                                                                            	  4.130	 -8.254      	  7    	 44          	1033.83
        	49/15625C	15876/15625                	[   2   4  -6   2 ⟩                                                                                                            	 27.590	  2.301      	  7    	 44          	1033.83
        	49/185k  	11907/11840                	[  -6   5  -1   2   0   0   0   0   0   0   0  -1 ⟩                                                                            	  9.769	  4.398      	 37    	 56          	1035.20
        	185/49C  	404595/401408              	[ -13   7   1  -2   0   0   0   0   0   0   0   1 ⟩                                                                            	 13.691	  6.157      	 37    	 56          	1035.20
        	19/203C  	3365793/3325952            	[ -14  11   0  -1   0   0   0   1   0  -1 ⟩                                                                                    	 20.615	  9.731      	 29    	 55          	1035.68
        	551/7S   	141056/137781              	[   8  -9   0  -1   0   0   0   1   0   1 ⟩                                                                                    	 40.669	-11.504      	 29    	 55          	1035.68
        	7/551C   	3670016/3615111            	[  19  -8   0   1   0   0   0  -1   0  -1 ⟩                                                                                    	 26.096	 -9.607      	 29    	 55          	1035.68
        	7/551M   	567/551                    	[   0   4   0   1   0   0   0  -1   0  -1 ⟩                                                                                    	 49.556	  0.949      	 29    	 55          	1035.68
        	203/19s  	609/608                    	[  -5   1   0   1   0   0   0  -1   0   1 ⟩                                                                                    	  2.845	  0.825      	 29    	 55          	1035.68
        	203/19C  	323647569/318767104        	[ -24  13   0   1   0   0   0  -1   0   1 ⟩                                                                                    	 26.305	 11.380      	 29    	 55          	1035.68
        	133/29C  	266/261                    	[   1  -2   0   1   0   0   0   1   0  -1 ⟩                                                                                    	 32.852	 -4.023      	 29    	 55          	1035.68
        	133/29M  	7853517/7602176            	[ -18  10   0   1   0   0   0   1   0  -1 ⟩                                                                                    	 56.312	  6.533      	 29    	 55          	1035.68
        	1/511s   	512/511                    	[   9   0   0  -1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  -1 ⟩                                        	  3.385	 -0.208      	 73    	 80          	1036.19
        	1/511C   	531441/523264              	[ -10  12   0  -1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  -1 ⟩                                        	 26.845	 10.347      	 73    	 80          	1036.19
        	511C     	271566351/268435456        	[ -28  12   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1 ⟩                                        	 20.075	 10.764      	 73    	 80          	1036.19
        	361/49S  	2957312/2893401            	[  13 -10   0  -2   0   0   0   2 ⟩                                                                                            	 37.824	-12.329      	 19    	 52          	1037.32
        	49/361C  	802816/789507              	[  14  -7   0   2   0   0   0  -2 ⟩                                                                                            	 28.941	 -8.782      	 19    	 52          	1037.32
        	49/361M  	11907/11552                	[  -5   5   0   2   0   0   0  -2 ⟩                                                                                            	 52.401	  1.773      	 19    	 52          	1037.32
        	299/49k  	78381056/78121827          	[  18 -13   0  -2   0   1   0   0   1 ⟩                                                                                        	  5.735	-13.353      	 23    	 50          	1040.04
        	299/49C  	299/294                    	[  -1  -1   0  -2   0   1   0   0   1 ⟩                                                                                        	 29.195	 -2.798      	 23    	 50          	1040.04
        	299/49M  	52966953/51380224          	[ -20  11   0  -2   0   1   0   0   1 ⟩                                                                                        	 52.655	  7.758      	 23    	 50          	1040.04
        	23/425S  	11776/11475                	[   9  -3  -2   0   0   0  -1   0   1 ⟩                                                                                        	 44.827	 -5.760      	 23    	 50          	1040.86
        	17/575C  	37179/36800                	[  -6   7  -2   0   0   0   1   0  -1 ⟩                                                                                        	 17.739	  5.908      	 23    	 50          	1040.86
        	575/17k  	139725/139264              	[ -13   5   2   0   0   0  -1   0   1 ⟩                                                                                        	  5.721	  4.648      	 23    	 50          	1040.86
        	425/23M  	425/414                    	[  -1  -2   2   0   0   0   1   0  -1 ⟩                                                                                        	 45.398	 -4.795      	 23    	 50          	1040.86
        	13/1331s 	85293/85184                	[  -6   8   0   0  -3   1 ⟩                                                                                                    	  2.214	  7.864      	 13    	 46          	1041.38
        	1331/13C 	107811/106496              	[ -13   4   0   0   3  -1 ⟩                                                                                                    	 21.246	  2.692      	 13    	 46          	1041.38
        	323/55M  	41344/40095                	[   7  -6  -1   0  -1   0   1   1 ⟩                                                                                            	 53.107	 -9.270      	 19    	 52          	1041.78
        	209/85S  	1712128/1673055            	[  13  -9  -1   0   1   0  -1   1 ⟩                                                                                            	 39.967	-11.461      	 19    	 52          	1041.78
        	95/187s  	99614720/99379467          	[  20 -12   1   0  -1   0  -1   1 ⟩                                                                                            	  4.093	-12.252      	 19    	 52          	1041.78
        	95/187C  	190/187                    	[   1   0   1   0  -1   0  -1   1 ⟩                                                                                            	 27.553	 -1.697      	 19    	 52          	1041.78
        	95/187M  	50486895/49020928          	[ -18  12   1   0  -1   0  -1   1 ⟩                                                                                            	 51.013	  8.859      	 19    	 52          	1041.78
        	85/209C  	1392640/1371249            	[  14  -8   1   0  -1   0   1  -1 ⟩                                                                                            	 26.798	 -9.650      	 19    	 52          	1041.78
        	85/209M  	6885/6688                  	[  -5   4   1   0  -1   0   1  -1 ⟩                                                                                            	 50.258	  0.905      	 19    	 52          	1041.78
        	55/323C  	57671680/57218481          	[  20 -11   1   0   1   0  -1  -1 ⟩                                                                                            	 13.658	-11.841      	 19    	 52          	1041.78
        	55/323S  	330/323                    	[   1   1   1   0   1   0  -1  -1 ⟩                                                                                            	 37.118	 -1.286      	 19    	 52          	1041.78
        	1/799C   	65536/64719                	[  16  -4   0   0   0   0  -1   0   0   0   0   0   0   0  -1 ⟩                                                                	 21.718	 -5.337      	 47    	 64          	1043.14
        	1/799M   	6561/6392                  	[  -3   8   0   0   0   0  -1   0   0   0   0   0   0   0  -1 ⟩                                                                	 45.178	  5.218      	 47    	 64          	1043.14
        	3125/17C 	12500/12393                	[   2  -6   5   0   0   0  -1 ⟩                                                                                                	 14.883	 -6.916      	 17    	 42          	1045.28
        	3125/17S 	2278125/2228224            	[ -17   6   5   0   0   0  -1 ⟩                                                                                                	 38.343	  3.639      	 17    	 42          	1045.28
        	1/2035k  	2048/2035                  	[  11   0  -1   0  -1   0   0   0   0   0   0  -1 ⟩                                                                            	 11.024	 -0.679      	 37    	 53          	1045.76
        	1/2035S  	531441/520960              	[  -8  12  -1   0  -1   0   0   0   0   0   0  -1 ⟩                                                                            	 34.484	  9.877      	 37    	 53          	1045.76
        	2035C    	1081482435/1073741824      	[ -30  12   1   0   1   0   0   0   0   0   0   1 ⟩                                                                            	 12.436	 11.234      	 37    	 53          	1045.76
        	253/175C 	129536/127575              	[   9  -6  -2  -1   1   0   0   0   1 ⟩                                                                                        	 26.409	 -7.626      	 23    	 51          	1047.66
        	253/175M 	184437/179200              	[ -10   6  -2  -1   1   0   0   0   1 ⟩                                                                                        	 49.869	  2.929      	 23    	 51          	1047.66
        	175/253S 	45875200/44818191          	[  18 -11   2   1  -1   0   0   0  -1 ⟩                                                                                        	 40.356	-13.485      	 23    	 51          	1047.66
        	1/3971C  	2147483648/2110352211      	[  31 -12   0   0  -1   0   0  -2 ⟩                                                                                            	 30.196	-13.859      	 19    	 49          	1047.90
        	1/3971M  	4096/3971                  	[  12   0   0   0  -1   0   0  -2 ⟩                                                                                            	 53.656	 -3.304      	 19    	 49          	1047.90
        	3971S    	3971/3888                  	[  -4  -5   0   0   1   0   0   2 ⟩                                                                                            	 36.569	 -7.252      	 19    	 49          	1047.90
        	3289s    	6578/6561                  	[   1  -8   0   0   1   1   0   0   1 ⟩                                                                                        	  4.480	 -8.276      	 23    	 47          	1050.65
        	3289C    	266409/262144              	[ -18   4   0   0   1   1   0   0   1 ⟩                                                                                        	 27.940	  2.280      	 23    	 47          	1050.65
        	59/49s   	966656/964467              	[  14  -9   0  -2   0   0   0   0   0   0   0   0   0   0   0   0   1 ⟩                                                        	  3.925	 -9.242      	 59    	 73          	1052.89
        	59/49C   	1593/1568                  	[  -5   3   0  -2   0   0   0   0   0   0   0   0   0   0   0   0   1 ⟩                                                        	 27.385	  1.314      	 59    	 73          	1052.89
        	59/49M   	846585513/822083584        	[ -24  15   0  -2   0   0   0   0   0   0   0   0   0   0   0   0   1 ⟩                                                        	 50.845	 11.869      	 59    	 73          	1052.89
        	13/2695M 	54525952/53045685          	[  22  -9  -1  -2  -1   1 ⟩                                                                                                    	 47.649	-11.934      	 13    	 43          	1054.29
        	11/3185C 	52612659/52183040          	[ -14  14  -1  -2   1  -1 ⟩                                                                                                    	 14.195	 13.126      	 13    	 43          	1054.29
        	7007/5C  	896896/885735              	[   7 -11  -1   2   1   1 ⟩                                                                                                    	 21.679	-12.335      	 13    	 43          	1054.29
        	7007/5M  	21021/20480                	[ -12   1  -1   2   1   1 ⟩                                                                                                    	 45.139	 -1.779      	 13    	 43          	1054.29
        	5/7007S  	5242880/5108103            	[  20  -6   1  -2  -1  -1 ⟩                                                                                                    	 45.086	 -8.776      	 13    	 43          	1054.29
        	3185/11k 	3185/3168                  	[  -5  -2   1   2  -1   1 ⟩                                                                                                    	  9.265	 -2.570      	 13    	 43          	1054.29
        	3185/11C 	188071065/184549376        	[ -24  10   1   2  -1   1 ⟩                                                                                                    	 32.725	  7.985      	 13    	 43          	1054.29
        	2695/13C 	86240/85293                	[   5  -8   1   2   1  -1 ⟩                                                                                                    	 19.116	 -9.177      	 13    	 43          	1054.29
        	2695/13S 	218295/212992              	[ -14   4   1   2   1  -1 ⟩                                                                                                    	 42.576	  1.378      	 13    	 43          	1054.29
        	169/119C 	123201/121856              	[ -10   6   0  -1   0   2  -1 ⟩                                                                                                	 19.004	  4.830      	 17    	 50          	1055.21
        	119/169s 	86751/86528                	[  -9   6   0   1   0  -2   1 ⟩                                                                                                	  4.456	  5.726      	 17    	 50          	1055.21
        	17/217k  	111537/111104              	[  -9   8   0  -1   0   0   1   0   0   0  -1 ⟩                                                                                	  6.734	  7.585      	 31    	 55          	1058.88
        	7/527C   	14336/14229                	[  11  -3   0   1   0   0  -1   0   0   0  -1 ⟩                                                                                	 12.970	 -3.799      	 31    	 55          	1058.88
        	7/527S   	137781/134912              	[  -8   9   0   1   0   0  -1   0   0   0  -1 ⟩                                                                                	 36.430	  6.757      	 31    	 55          	1058.88
        	217/17C  	17577/17408                	[ -10   4   0   1   0   0  -1   0   0   0   1 ⟩                                                                                	 16.726	  2.970      	 31    	 55          	1058.88
        	119/31C  	7616/7533                  	[   6  -5   0   1   0   0   1   0   0   0  -1 ⟩                                                                                	 18.971	 -6.168      	 31    	 55          	1058.88
        	119/31S  	260253/253952              	[ -13   7   0   1   0   0   1   0   0   0  -1 ⟩                                                                                	 42.431	  4.387      	 31    	 55          	1058.88
        	169/625C 	1384448/1366875            	[  13  -7  -4   0   0   2 ⟩                                                                                                    	 22.115	 -8.362      	 13    	 46          	1059.51
        	169/625M 	41067/40000                	[  -6   5  -4   0   0   2 ⟩                                                                                                    	 45.575	  2.194      	 13    	 46          	1059.51
        	625/169S 	10240000/9979281           	[  14 -10   4   0   0  -2 ⟩                                                                                                    	 44.650	-12.749      	 13    	 46          	1059.51
        	107/5k   	321/320                    	[  -6   1  -1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1 ⟩            	  5.402	  0.667      	107    	112          	1060.09
        	107/5C   	170592561/167772160        	[ -25  13  -1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1 ⟩            	 28.862	 11.223      	107    	112          	1060.09
        	5/107C   	885735/876544              	[ -13  11   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  -1 ⟩            	 18.058	  9.888      	107    	112          	1060.09
        	43/31S   	5636096/5491557            	[  17 -11   0   0   0   0   0   0   0   0  -1   0   0   1 ⟩                                                                    	 44.977	-13.769      	 43    	 74          	1061.46
        	31/43C   	31744/31347                	[  10  -6   0   0   0   0   0   0   0   0   1   0   0  -1 ⟩                                                                    	 21.788	 -7.342      	 43    	 74          	1061.46
        	31/43M   	22599/22016                	[  -9   6   0   0   0   0   0   0   0   0   1   0   0  -1 ⟩                                                                    	 45.248	  3.214      	 43    	 74          	1061.46
        	2639C    	2639/2592                  	[  -5  -4   0   1   0   1   0   0   0   1 ⟩                                                                                    	 31.111	 -5.916      	 29    	 49          	1062.93
        	2639M    	17314479/16777216          	[ -24   8   0   1   0   1   0   0   0   1 ⟩                                                                                    	 54.571	  4.640      	 29    	 49          	1062.93
        	25/83k   	1638400/1633689            	[  16  -9   2   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  -1 ⟩                                	  4.985	 -9.307      	 83    	 93          	1063.12
        	25/83C   	675/664                    	[  -3   3   2   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  -1 ⟩                                	 28.445	  1.249      	 83    	 93          	1063.12
        	25/83M   	358722675/348127232        	[ -22  15   2   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  -1 ⟩                                	 51.905	 11.804      	 83    	 93          	1063.12
        	649s     	649/648                    	[  -3  -4   0   0   1   0   0   0   0   0   0   0   0   0   0   0   1 ⟩                                                        	  2.670	 -4.164      	 59    	 70          	1063.64
        	649C     	4258089/4194304            	[ -22   8   0   0   1   0   0   0   0   0   0   0   0   0   0   0   1 ⟩                                                        	 26.130	  6.391      	 59    	 70          	1063.64
        	19/637k  	155648/154791              	[  13  -5   0  -2   0  -1   0   1 ⟩                                                                                            	  9.559	 -5.589      	 19    	 46          	1064.62
        	19/637C  	41553/40768                	[  -6   7   0  -2   0  -1   0   1 ⟩                                                                                            	 33.019	  4.967      	 19    	 46          	1064.62
        	13/931k  	936/931                    	[   3   2   0  -2   0   1   0  -1 ⟩                                                                                            	  9.273	  1.429      	 19    	 46          	1064.62
        	13/931C  	62178597/61014016          	[ -16  14   0  -2   0   1   0  -1 ⟩                                                                                            	 32.733	 11.985      	 19    	 46          	1064.62
        	931/13C  	54974619/54525952          	[ -22  10   0   2   0  -1   0   1 ⟩                                                                                            	 14.187	  9.126      	 19    	 46          	1064.62
        	1/8075n  	4294967296/4291386075      	[  32 -12  -2   0   0   0  -1  -1 ⟩                                                                                            	  1.444	-12.089      	 19    	 46          	1065.45
        	1/8075C  	8192/8075                  	[  13   0  -2   0   0   0  -1  -1 ⟩                                                                                            	 24.904	 -1.533      	 19    	 46          	1065.45
        	1/8075M  	531441/516800              	[  -6  12  -2   0   0   0  -1  -1 ⟩                                                                                            	 48.364	  9.022      	 19    	 46          	1065.45
        	43/125C  	22544384/22143375          	[  19 -11  -3   0   0   0   0   0   0   0   0   0   0   1 ⟩                                                                    	 31.072	-12.913      	 43    	 58          	1070.02
        	43/125M  	129/125                    	[   0   1  -3   0   0   0   0   0   0   0   0   0   0   1 ⟩                                                                    	 54.532	 -2.358      	 43    	 58          	1070.02
        	125/43S  	32000/31347                	[   8  -6   3   0   0   0   0   0   0   0   0   0   0  -1 ⟩                                                                    	 35.693	 -8.198      	 43    	 58          	1070.02
        	29/275C  	570807/563200              	[ -11   9  -2   0  -1   0   0   0   0   1 ⟩                                                                                    	 23.227	  7.570      	 29    	 50          	1070.72
        	11/725S  	180224/176175              	[  14  -5  -2   0   1   0   0   0   0  -1 ⟩                                                                                    	 39.338	 -7.422      	 29    	 50          	1070.72
        	725/11C  	5939200/5845851            	[  13 -12   2   0  -1   0   0   0   0   1 ⟩                                                                                    	 27.427	-13.689      	 29    	 50          	1070.72
        	725/11M  	725/704                    	[  -6   0   2   0  -1   0   0   0   0   1 ⟩                                                                                    	 50.887	 -3.133      	 29    	 50          	1070.72
        	275/29n  	7425/7424                  	[  -8   3   2   0   1   0   0   0   0  -1 ⟩                                                                                    	  0.233	  2.986      	 29    	 50          	1070.72
        	275/29C  	3945949425/3892314112      	[ -27  15   2   0   1   0   0   0   0  -1 ⟩                                                                                    	 23.693	 13.541      	 29    	 50          	1070.72
        	23/875C  	452709/448000              	[  -9   9  -3  -1   0   0   0   0   1 ⟩                                                                                        	 18.102	  7.885      	 23    	 45          	1071.47
        	2875/7s  	46000/45927                	[   4  -8   3  -1   0   0   0   0   1 ⟩                                                                                        	  2.750	 -8.169      	 23    	 45          	1071.47
        	2875/7C  	232875/229376              	[ -15   4   3  -1   0   0   0   0   1 ⟩                                                                                        	 26.210	  2.386      	 23    	 45          	1071.47
        	875/23k  	23625/23552                	[ -10   3   3   1   0   0   0   0  -1 ⟩                                                                                        	  5.358	  2.670      	 23    	 45          	1071.47
        	875/23C  	12555293625/12348030976    	[ -29  15   3   1   0   0   0   0  -1 ⟩                                                                                        	 28.818	 13.226      	 23    	 45          	1071.47
        	133/275C 	68096/66825                	[   9  -5  -2   1  -1   0   0   1 ⟩                                                                                            	 32.619	 -7.008      	 19    	 47          	1072.41
        	133/275M 	290871/281600              	[ -10   7  -2   1  -1   0   0   1 ⟩                                                                                            	 56.079	  3.547      	 19    	 47          	1072.41
        	77/475S  	39424/38475                	[   9  -4  -2   1   1   0   0  -1 ⟩                                                                                            	 42.183	 -6.597      	 19    	 47          	1072.41
        	1463/25C 	1498112/1476225            	[  10 -10  -2   1   1   0   0   1 ⟩                                                                                            	 25.479	-11.569      	 19    	 47          	1072.41
        	1463/25M 	13167/12800                	[  -9   2  -2   1   1   0   0   1 ⟩                                                                                            	 48.939	 -1.013      	 19    	 47          	1072.41
        	25/1463S 	3276800/3199581            	[  17  -7   2  -1  -1   0   0  -1 ⟩                                                                                            	 41.286	 -9.542      	 19    	 47          	1072.41
        	475/77M  	475/462                    	[  -1  -1   2  -1  -1   0   0   1 ⟩                                                                                            	 48.042	 -3.958      	 19    	 47          	1072.41
        	1645k    	6580/6561                  	[   2  -8   1   1   0   0   0   0   0   0   0   0   0   0   1 ⟩                                                                	  5.006	 -8.308      	 47    	 59          	1073.82
        	1645C    	133245/131072              	[ -17   4   1   1   0   0   0   0   0   0   0   0   0   0   1 ⟩                                                                	 28.466	  2.247      	 47    	 59          	1073.82
        	1/943C   	2097152/2062341            	[  21  -7   0   0   0   0   0   0  -1   0   0   0  -1 ⟩                                                                        	 28.978	 -8.784      	 41    	 64          	1073.97
        	1/943M   	972/943                    	[   2   5   0   0   0   0   0   0  -1   0   0   0  -1 ⟩                                                                        	 52.438	  1.771      	 41    	 64          	1073.97
        	943S     	60352/59049                	[   6 -10   0   0   0   0   0   0   1   0   0   0   1 ⟩                                                                        	 37.787	-12.327      	 41    	 64          	1073.97
        	31/121C  	65011712/64304361          	[  21 -12   0   0  -2   0   0   0   0   0   1 ⟩                                                                                	 18.940	-13.166      	 31    	 53          	1076.68
        	31/121S  	124/121                    	[   2   0   0   0  -2   0   0   0   0   0   1 ⟩                                                                                	 42.400	 -2.611      	 31    	 53          	1076.68
        	121/31M  	7744/7533                  	[   6  -5   0   0   2   0   0   0   0   0  -1 ⟩                                                                                	 47.825	 -7.945      	 31    	 53          	1076.68
        	37/85M   	2368/2295                  	[   6  -3  -1   0   0   0  -1   0   0   0   0   1 ⟩                                                                            	 54.210	 -6.338      	 37    	 59          	1077.45
        	17/185M  	139264/134865              	[  13  -6  -1   0   0   0   1   0   0   0   0  -1 ⟩                                                                            	 55.568	 -9.422      	 37    	 59          	1077.45
        	5/629k   	335544320/334276389        	[  26 -12   1   0   0   0  -1   0   0   0   0  -1 ⟩                                                                            	  6.554	-12.404      	 37    	 59          	1077.45
        	5/629C   	640/629                    	[   7   0   1   0   0   0  -1   0   0   0   0  -1 ⟩                                                                            	 30.014	 -1.848      	 37    	 59          	1077.45
        	5/629M   	2657205/2576384            	[ -12  12   1   0   0   0  -1   0   0   0   0  -1 ⟩                                                                            	 53.474	  8.707      	 37    	 59          	1077.45
        	185/17k  	3031040/3011499            	[  14 -11   1   0   0   0  -1   0   0   0   0   1 ⟩                                                                            	 11.197	-11.689      	 37    	 59          	1077.45
        	185/17S  	555/544                    	[  -5   1   1   0   0   0  -1   0   0   0   0   1 ⟩                                                                            	 34.657	 -1.134      	 37    	 59          	1077.45
        	85/37S   	340/333                    	[   2  -2   1   0   0   0   1   0   0   0   0  -1 ⟩                                                                            	 36.015	 -4.218      	 37    	 59          	1077.45
        	361/17C  	575550603/570425344        	[ -25  13   0   0   0   0  -1   2 ⟩                                                                                            	 15.486	 12.046      	 19    	 55          	1079.66
        	17/361k  	1088/1083                  	[   6  -1   0   0   0   0   1  -2 ⟩                                                                                            	  7.974	 -1.491      	 19    	 55          	1079.66
        	17/361C  	3011499/2957312            	[ -13  11   0   0   0   0   1  -2 ⟩                                                                                            	 31.434	  9.064      	 19    	 55          	1079.66
        	67/13C   	1072/1053                  	[   4  -4   0   0   0  -1   0   0   0   0   0   0   0   0   0   0   0   0   1 ⟩                                                	 30.959	 -5.906      	 67    	 80          	1080.68
