so this is technically from the find-commas script, but it's this:
make find-commas -- --max-n2d3p9 1259 --max-2-3-free-sopfr 127 --max-2-3-free-copfr 9999 --max-prime-limit 127 --upper-bound 56.8425030289c
so the idea was to just try to get basically the top N2D3P9 2,3-free classes up to 1259 (previously went as high as 307)
only constraint being that SoPF>3 of 127...
and this just doing a ton of duplication w/r/t each 2,3-free class, including every comma-sized thing, rather than just the LATE or LAAS comma for each 2,3-free class

sagittal  	name     	2,3-free class name           	pev                                                                                                                          	cents  	apotome slope	limit  	2,3-free SoPFR	N2D3P9
        	11/49S   	52612659/51380224          	[ -20  14   0  -2   1 ⟩                                                                                                        	 41.036	 11.473      	 11    	 25          	 54.898
        	49/11k   	2893401/2883584            	[ -18  10   0   2  -1 ⟩                                                                                                        	  5.884	  9.638      	 11    	 25          	 54.898
    `|( 	343/5k   	10976/10935                	[   5  -7  -1   3 ⟩                                                                                                            	  6.479	 -7.399      	  7    	 26          	 55.579
        	343/5C   	83349/81920                	[ -14   5  -1   3 ⟩                                                                                                            	 29.939	  3.157      	  7    	 26          	 55.579
        	1/119C   	262144/260253              	[  18  -7   0  -1   0   0  -1 ⟩                                                                                                	 12.534	 -7.772      	 17    	 24          	 56.194
        	1/119S   	243/238                    	[  -1   5   0  -1   0   0  -1 ⟩                                                                                                	 35.994	  2.784      	 17    	 24          	 56.194
        	119M     	60928/59049                	[   9 -10   0   1   0   0   1 ⟩                                                                                                	 54.231	-13.339      	 17    	 24          	 56.194
        	325k     	325/324                    	[  -2  -4   2   0   0   1 ⟩                                                                                                    	  5.335	 -4.329      	 13    	 23          	 58.681
   ,'|) 	325C     	2132325/2097152            	[ -21   8   2   0   0   1 ⟩                                                                                                    	 28.795	  6.227      	 13    	 23          	 58.681
        	1/385C   	1594323/1576960            	[ -12  13  -1  -1  -1 ⟩                                                                                                        	 18.957	 11.833      	 11    	 23          	 58.819
  ``)|  	385k     	385/384                    	[  -7  -1   1   1   1 ⟩                                                                                                        	  4.503	 -1.277      	 11    	 23          	 58.819
        	385C     	68201595/67108864          	[ -26  11   1   1   1 ⟩                                                                                                        	 27.963	  9.278      	 11    	 23          	 58.819
  `./|\ 	17/11M   	34/33                      	[   1  -1   0   0  -1   0   1 ⟩                                                                                                	 51.682	 -4.182      	 17    	 28          	 58.870
