2,3-           	        	                          	smallest
free           	        	notating                  	symbol  	      	Scala  	Scala
class          	        	symbol                    	subset  	N2D3P9	archive	archive
name           	N2D3P9  	classes                   	indices 	rank  	rank   	occurrences
{1189/25}₂,₃   	3761.497	                          	        	3559  	-      	0
{89/77}₂,₃     	3764.920	                          	        	3560  	-      	0
{847/31}₂,₃    	3768.366	                          	        	3561.5	-      	0
{3751/7}₂,₃    	3768.366	                          	        	3561.5	-      	0
{595/37}₂,₃    	3771.088	                          	        	3564.5	-      	0
{1295/17}₂,₃   	3771.088	                          	        	3564.5	-      	0
{3145/7}₂,₃    	3771.088	                          	        	3564.5	-      	0
{4403/5}₂,₃    	3771.088	                          	        	3564.5	-      	0
{145/53}₂,₃    	3771.343	                          	        	3568  	-      	0
{265/29}₂,₃    	3771.343	                          	        	3568  	-      	0
{1537/5}₂,₃    	3771.343	                          	        	3568  	-      	0
{9367}₂,₃      	3772.819	                          	        	3570  	-      	0
{97/65}₂,₃     	3775.216	                          	        	3571  	604.5  	1
{2527/17}₂,₃   	3778.801	                          	        	3572.5	-      	0
{6137/7}₂,₃    	3778.801	                          	        	3572.5	-      	0
{91/67}₂,₃     	3782.398	                          	        	3575  	-      	0
{469/13}₂,₃    	3782.398	                          	        	3575  	-      	0
{871/7}₂,₃     	3782.398	                          	        	3575  	-      	0
{221/43}₂,₃    	3783.602	                          	        	3578  	-      	0
{559/17}₂,₃    	3783.602	                          	        	3578  	-      	0
{731/13}₂,₃    	3783.602	                          	        	3578  	-      	0
{185/47}₂,₃    	3783.935	                          	        	3581  	-      	0
{235/37}₂,₃    	3783.935	                          	        	3581  	-      	0
{1739/5}₂,₃    	3783.935	                          	        	3581  	-      	0
{64141}₂,₃     	3786.101	                          	        	3583  	-      	0
{1547/23}₂,₃   	3788.718	                          	        	3585.5	-      	0
{2093/17}₂,₃   	3788.718	                          	        	3585.5	-      	0
{2737/13}₂,₃   	3788.718	                          	        	3585.5	-      	0
{5083/7}₂,₃    	3788.718	                          	        	3585.5	-      	0
{299/37}₂,₃    	3790.102	                          	        	3589  	-      	0
{481/23}₂,₃    	3790.102	                          	        	3589  	-      	0
{851/13}₂,₃    	3790.102	                          	        	3589  	-      	0
{57475}₂,₃     	3791.753	                          	        	3591  	-      	0
{13325}₂,₃     	3793.924	                          	        	3592  	-      	0
{215/133}₂,₃   	3795.015	                          	        	3594  	-      	0
{301/95}₂,₃    	3795.015	                          	        	3594  	-      	0
{817/35}₂,₃    	3795.015	                          	        	3594  	-      	0
{407/245}₂,₃   	3795.736	                          	        	3596  	-      	0
{209/203}₂,₃   	3797.478	                          	        	3598  	-      	0
{319/133}₂,₃   	3797.478	                          	        	3598  	-      	0
{551/77}₂,₃    	3797.478	                          	        	3598  	-      	0
{77/73}₂,₃     	3799.380	                          	        	3601  	252.5  	3
{511/11}₂,₃    	3799.380	                          	        	3601  	-      	0
{803/7}₂,₃     	3799.380	                          	        	3601  	-      	0
{931/115}₂,₃   	3800.147	                          	        	3604  	-      	0
{1127/95}₂,₃   	3800.147	                          	        	3604  	-      	0
{2185/49}₂,₃   	3800.147	                          	        	3604  	-      	0
{157/25}₂,₃    	3803.858	                          	        	3606  	604.5  	1
{11375/17}₂,₃  	3804.832	                          	        	3608  	-      	0
{14875/13}₂,₃  	3804.832	                          	        	3608  	-      	0
{27625/7}₂,₃   	3804.832	                          	        	3608  	-      	0
{737/25}₂,₃    	3810.108	                          	        	3610  	-      	0
{355/49}₂,₃    	3811.867	                          	        	3611  	-      	0
{1715/31}₂,₃   	3815.081	                          	        	3612.5	-      	0
{10633/5}₂,₃   	3815.081	                          	        	3612.5	-      	0
{425/253}₂,₃   	3816.474	                          	        	3615  	-      	0
{575/187}₂,₃   	3816.474	                          	        	3615  	-      	0
{4301/25}₂,₃   	3816.474	                          	        	3615  	-      	0
{78125/13}₂,₃  	3820.349	                          	        	3617  	-      	0
{137/11}₂,₃    	3823.315	                          	        	3618  	-      	0
{2257}₂,₃      	3824.361	                          	        	3619  	-      	0
{187/47}₂,₃    	3824.843	                          	        	3621  	-      	0
{517/17}₂,₃    	3824.843	                          	        	3621  	-      	0
{799/11}₂,₃    	3824.843	                          	        	3621  	-      	0
{71/41}₂,₃     	3827.426	                          	        	3623  	329    	2
{109375/11}₂,₃ 	3829.391	                          	        	3624.5	-      	0
{171875/7}₂,₃  	3829.391	                          	        	3624.5	-      	0
{1339}₂,₃      	3831.028	                          	        	3626  	-      	0
{961/125}₂,₃   	3831.147	                          	        	3627  	-      	0
{3125/187}₂,₃  	3832.706	                          	        	3628  	-      	0
{605/37}₂,₃    	3834.468	                          	        	3629.5	-      	0
{4477/5}₂,₃    	3834.468	                          	        	3629.5	-      	0
{119/59}₂,₃    	3835.546	                          	        	3632  	-      	0
{413/17}₂,₃    	3835.546	                          	        	3632  	-      	0
{1003/7}₂,₃    	3835.546	                          	        	3632  	-      	0
{17825}₂,₃     	3837.326	                          	        	3634  	-      	0
{116375}₂,₃    	3838.759	                          	        	3635  	-      	0
{24035}₂,₃     	3838.924	                          	        	3636  	-      	0
{841/17}₂,₃    	3839.009	                          	        	3637  	-      	0
{263}₂,₃       	3842.722	                          	        	3638  	-      	0
{247/41}₂,₃    	3844.509	                          	        	3640  	-      	0
{533/19}₂,₃    	3844.509	                          	        	3640  	-      	0
{779/13}₂,₃    	3844.509	                          	        	3640  	-      	0
{545/7}₂,₃     	3850.324	                          	        	3642.5	-      	0
{763/5}₂,₃     	3850.324	                          	        	3642.5	-      	0
{3115}₂,₃      	3850.486	                          	        	3644  	-      	0
{3905}₂,₃      	3850.764	                          	        	3645  	-      	0
{1573/23}₂,₃   	3852.394	                          	        	3646.5	-      	0
{2783/13}₂,₃   	3852.394	                          	        	3646.5	-      	0
{15379/25}₂,₃  	3856.617	                          	        	3648  	-      	0
{8959}₂,₃      	3857.347	                          	        	3649  	604.5  	1
{377/343}₂,₃   	3858.044	                          	        	3650  	-      	0
{7511}₂,₃      	3859.819	                          	        	3651  	-      	0
{425/203}₂,₃   	3861.073	                          	        	3653  	-      	0
{725/119}₂,₃   	3861.073	                          	        	3653  	-      	0
{3451/25}₂,₃   	3861.073	                          	        	3653  	-      	0
{113/49}₂,₃    	3862.228	                          	        	3655  	-      	0
{2077}₂,₃      	3865.528	                          	        	3656  	-      	0
{3185/121}₂,₃  	3865.745	                          	        	3658  	-      	0
{5929/65}₂,₃   	3865.745	                          	        	3658  	-      	0
{7865/49}₂,₃   	3865.745	                          	        	3658  	-      	0
{833/475}₂,₃   	3867.194	                          	        	3660.5	-      	0
{931/425}₂,₃   	3867.194	                          	        	3660.5	-      	0
{835}₂,₃       	3873.472	                          	        	3662  	-      	0
{29393}₂,₃     	3878.243	                          	        	3663  	-      	0
{173/7}₂,₃     	3879.685	                          	        	3664  	-      	0
{299/145}₂,₃   	3880.540	                          	        	3666  	-      	0
{377/115}₂,₃   	3880.540	                          	        	3666  	-      	0
{667/65}₂,₃    	3880.540	                          	        	3666  	-      	0
{1225/37}₂,₃   	3882.002	                          	        	3668  	-      	0
{217/187}₂,₃   	3882.559	                          	        	3670  	-      	0
{341/119}₂,₃   	3882.559	                          	        	3670  	-      	0
{527/77}₂,₃    	3882.559	                          	        	3670  	-      	0
{127/13}₂,₃    	3882.907	                          	        	3672  	-      	0
{19285}₂,₃     	3883.785	                          	        	3673  	-      	0
{12167}₂,₃     	3886.681	                          	        	3674  	-      	0
{107/55}₂,₃    	3887.006	                          	        	3675  	-      	0
{437/31}₂,₃    	3888.491	                          	        	3677  	-      	0
{589/23}₂,₃    	3888.491	                          	        	3677  	-      	0
{713/19}₂,₃    	3888.491	                          	        	3677  	-      	0
{17689/5}₂,₃   	3889.942	                          	        	3679  	-      	0
{455/43}₂,₃    	3894.884	                          	        	3681.5	-      	0
{1505/13}₂,₃   	3894.884	                          	        	3681.5	-      	0
{2795/7}₂,₃    	3894.884	                          	        	3681.5	-      	0
{3913/5}₂,₃    	3894.884	                          	        	3681.5	-      	0
{8375}₂,₃      	3896.701	                          	        	3684  	-      	0
{1001/29}₂,₃   	3897.412	                          	        	3686.5	-      	0
{2233/13}₂,₃   	3897.412	                          	        	3686.5	-      	0
{2639/11}₂,₃   	3897.412	                          	        	3686.5	-      	0
{4147/7}₂,₃    	3897.412	                          	        	3686.5	-      	0
{121/59}₂,₃    	3900.009	                          	        	3689  	-      	0
{3185/23}₂,₃   	3900.150	                          	        	3691  	-      	0
{5635/13}₂,₃   	3900.150	                          	        	3691  	-      	0
{14651/5}₂,₃   	3900.150	                          	        	3691  	-      	0
{1243}₂,₃      	3901.639	                          	        	3693  	-      	0
{48875}₂,₃     	3903.212	                          	        	3694  	-      	0
{539/247}₂,₃   	3903.591	                          	        	3696.5	-      	0
{637/209}₂,₃   	3903.591	                          	        	3696.5	-      	0
{931/143}₂,₃   	3903.591	                          	        	3696.5	-      	0
{2717/49}₂,₃   	3903.591	                          	        	3696.5	-      	0
{86515}₂,₃     	3905.191	                          	        	3699  	-      	0
{4675/19}₂,₃   	3906.655	                          	        	3701  	-      	0
{5225/17}₂,₃   	3906.655	                          	        	3701  	-      	0
{8075/11}₂,₃   	3906.655	                          	        	3701  	-      	0
{67/47}₂,₃     	3907.093	                          	        	3703  	252.5  	3
{1369/25}₂,₃   	3908.410	                          	        	3704  	-      	0
{31213/25}₂,₃  	3913.667	                          	        	3705  	-      	0
{102487}₂,₃    	3914.434	                          	        	3706  	-      	0
{265625}₂,₃    	3919.813	                          	        	3707  	-      	0
{1081/25}₂,₃   	3920.293	                          	        	3708  	-      	0
{3211/125}₂,₃  	3922.904	                          	        	3709  	-      	0
{16807/55}₂,₃  	3922.930	                          	        	3710  	-      	0
{725/121}₂,₃   	3925.965	                          	        	3711.5	-      	0
{3509/25}₂,₃   	3925.965	                          	        	3711.5	-      	0
{875/253}₂,₃   	3928.723	                          	        	3714  	-      	0
{1375/161}₂,₃  	3928.723	                          	        	3714  	-      	0
{2875/77}₂,₃   	3928.723	                          	        	3714  	-      	0
{847/475}₂,₃   	3932.189	                          	        	3716.5	-      	0
{2299/175}₂,₃  	3932.189	                          	        	3716.5	-      	0
{703/49}₂,₃    	3933.762	                          	        	3718  	-      	0
{533/175}₂,₃   	3934.439	                          	        	3719  	-      	0
{139/11}₂,₃    	3935.759	                          	        	3720  	-      	0
{385/47}₂,₃    	3937.338	                          	        	3722.5	-      	0
{1645/11}₂,₃   	3937.338	                          	        	3722.5	-      	0
{2585/7}₂,₃    	3937.338	                          	        	3722.5	-      	0
{3619/5}₂,₃    	3937.338	                          	        	3722.5	-      	0
{253/41}₂,₃    	3937.898	                          	        	3726  	-      	0
{451/23}₂,₃    	3937.898	                          	        	3726  	-      	0
{943/11}₂,₃    	3937.898	                          	        	3726  	-      	0
{29887}₂,₃     	3943.424	                          	        	3728  	-      	0
{265/91}₂,₃    	3944.738	                          	        	3730  	-      	0
{371/65}₂,₃    	3944.738	                          	        	3730  	-      	0
{689/35}₂,₃    	3944.738	                          	        	3730  	-      	0
{6929}₂,₃      	3945.681	                          	        	3732  	-      	0
{245/59}₂,₃    	3948.356	                          	        	3733.5	-      	0
{2891/5}₂,₃    	3948.356	                          	        	3733.5	-      	0
{95/67}₂,₃     	3948.657	                          	        	3736  	-      	0
{335/19}₂,₃    	3948.657	                          	        	3736  	-      	0
{1273/5}₂,₃    	3948.657	                          	        	3736  	-      	0
{187/185}₂,₃   	3950.664	                          	        	3739  	-      	0
{407/85}₂,₃    	3950.664	                          	        	3739  	-      	0
{629/55}₂,₃    	3950.664	                          	        	3739  	-      	0
{4205/7}₂,₃    	3951.921	                          	        	3741.5	-      	0
{5887/5}₂,₃    	3951.921	                          	        	3741.5	-      	0
{175175}₂,₃    	3953.602	                          	        	3743  	-      	0
{83/31}₂,₃     	3954.796	                          	        	3744  	-      	0
{1615/23}₂,₃   	3955.255	                          	        	3746.5	-      	0
{1955/19}₂,₃   	3955.255	                          	        	3746.5	-      	0
{2185/17}₂,₃   	3955.255	                          	        	3746.5	-      	0
{7429/5}₂,₃    	3955.255	                          	        	3746.5	-      	0
{5915/17}₂,₃   	3957.025	                          	        	3750  	-      	0
{14365/7}₂,₃   	3957.025	                          	        	3750  	-      	0
{20111/5}₂,₃   	3957.025	                          	        	3750  	-      	0
{361/187}₂,₃   	3958.744	                          	        	3752  	-      	0
{115/61}₂,₃    	3962.176	                          	        	3754  	-      	0
{305/23}₂,₃    	3962.176	                          	        	3754  	-      	0
{1403/5}₂,₃    	3962.176	                          	        	3754  	-      	0
{207515}₂,₃    	3962.960	                          	        	3756  	-      	0
{2419}₂,₃      	3964.472	                          	        	3757  	-      	0
{5929/17}₂,₃   	3966.391	                          	        	3758  	-      	0
{85/71}₂,₃     	3967.454	                          	        	3760  	-      	0
{355/17}₂,₃    	3967.454	                          	        	3760  	-      	0
{1207/5}₂,₃    	3967.454	                          	        	3760  	-      	0
{253/221}₂,₃   	3969.133	                          	        	3763  	-      	0
{299/187}₂,₃   	3969.133	                          	        	3763  	-      	0
{391/143}₂,₃   	3969.133	                          	        	3763  	-      	0
{18445}₂,₃     	3970.799	                          	        	3765  	-      	0
{117649/25}₂,₃ 	3971.562	                          	        	3766  	-      	0
{583/125}₂,₃   	3973.637	                          	        	3767  	-      	0
{7733}₂,₃      	3973.903	                          	        	3768  	-      	0
{3625/49}₂,₃   	3974.633	                          	        	3769  	-      	0
{2675}₂,₃      	3975.347	                          	        	3770  	-      	0
{4697}₂,₃      	3979.403	                          	        	3771  	-      	0
{713/175}₂,₃   	3979.450	                          	        	3772  	-      	0
{6665}₂,₃      	3980.486	                          	        	3773  	-      	0
{2375/343}₂,₃  	3980.935	                          	        	3774.5	-      	0
{6517/125}₂,₃  	3980.935	                          	        	3774.5	-      	0
{437/385}₂,₃   	3981.106	                          	        	3776  	-      	0
{1375/221}₂,₃  	3986.015	                          	        	3778  	-      	0
{1625/187}₂,₃  	3986.015	                          	        	3778  	-      	0
{2125/143}₂,₃  	3986.015	                          	        	3778  	-      	0
{125/83}₂,₃    	3986.690	                          	        	3780  	-      	0
{1817}₂,₃      	3987.306	                          	        	3781  	-      	0
{9269}₂,₃      	3990.819	                          	        	3782  	-      	0
{60515}₂,₃     	3992.309	                          	        	3783  	-      	0
{539/155}₂,₃   	3996.752	                          	        	3785  	-      	0
{1519/55}₂,₃   	3996.752	                          	        	3785  	-      	0
{1705/49}₂,₃   	3996.752	                          	        	3785  	-      	0
{14063}₂,₃     	4004.049	                          	        	3787  	-      	0
{97/23}₂,₃     	4007.537	                          	        	3788  	-      	0
{15625/121}₂,₃ 	4011.743	                          	        	3789  	-      	0
{26875}₂,₃     	4012.587	                          	        	3790  	-      	0
{71/43}₂,₃     	4014.130	                          	        	3791  	-      	0
{39875}₂,₃     	4015.191	                          	        	3792  	-      	0
{221/203}₂,₃   	4015.515	                          	        	3794  	-      	0
{377/119}₂,₃   	4015.515	                          	        	3794  	-      	0
{493/91}₂,₃    	4015.515	                          	        	3794  	-      	0
{12005/17}₂,₃  	4015.561	                          	        	3796.5	-      	0
{40817/5}₂,₃   	4015.561	                          	        	3796.5	-      	0
{100625}₂,₃    	4018.012	                          	        	3798  	-      	0
{113/17}₂,₃    	4019.870	                          	        	3799  	-      	0
{269}₂,₃       	4020.056	                          	        	3800  	-      	0
{1271/25}₂,₃   	4020.910	                          	        	3801  	-      	0
{9625/19}₂,₃   	4021.557	                          	        	3803  	-      	0
{16625/11}₂,₃  	4021.557	                          	        	3803  	-      	0
{26125/7}₂,₃   	4021.557	                          	        	3803  	-      	0
{475/289}₂,₃   	4025.039	                          	        	3805.5	-      	0
{5491/25}₂,₃   	4025.039	                          	        	3805.5	-      	0
{551/245}₂,₃   	4027.629	                          	        	3807  	-      	0
{107/19}₂,₃    	4028.352	                          	        	3808  	-      	0
{365/49}₂,₃    	4029.645	                          	        	3809  	-      	0
{259/41}₂,₃    	4031.287	                          	        	3811  	-      	0
{287/37}₂,₃    	4031.287	                          	        	3811  	-      	0
{1517/7}₂,₃    	4031.287	                          	        	3811  	-      	0
{155/53}₂,₃    	4031.435	                          	        	3814  	-      	0
{265/31}₂,₃    	4031.435	                          	        	3814  	-      	0
{1643/5}₂,₃    	4031.435	                          	        	3814  	-      	0
{109/55}₂,₃    	4033.673	                          	        	3816  	-      	0
{445/11}₂,₃    	4033.843	                          	        	3817.5	-      	0
{979/5}₂,₃     	4033.843	                          	        	3817.5	-      	0
{637/37}₂,₃    	4037.282	                          	        	3819.5	-      	0
{1813/13}₂,₃   	4037.282	                          	        	3819.5	-      	0
{18755}₂,₃     	4037.535	                          	        	3821  	604.5  	1
{2197/275}₂,₃  	4040.265	                          	        	3822  	-      	0
{15725}₂,₃     	4040.451	                          	        	3823  	-      	0
{469/125}₂,₃   	4041.024	                          	        	3824  	-      	0
{731/125}₂,₃   	4042.310	                          	        	3825  	-      	0
{319/37}₂,₃    	4043.620	                          	        	3827  	-      	0
{407/29}₂,₃    	4043.620	                          	        	3827  	-      	0
{1073/11}₂,₃   	4043.620	                          	        	3827  	-      	0
{493/275}₂,₃   	4044.933	                          	        	3829  	-      	0
{73/41}₂,₃     	4046.093	                          	        	3830  	-      	0
{2737/125}₂,₃  	4047.775	                          	        	3831  	-      	0
{30685}₂,₃     	4048.715	                          	        	3832  	-      	0
{851/125}₂,₃   	4049.254	                          	        	3833  	-      	0
{1331/455}₂,₃  	4049.828	                          	        	3834  	-      	0
{4355}₂,₃      	4052.569	                          	        	3835  	-      	0
{137/35}₂,₃    	4055.031	                          	        	3836  	604.5  	1
{235/119}₂,₃   	4056.651	                          	        	3838  	-      	0
{329/85}₂,₃    	4056.651	                          	        	3838  	-      	0
{799/35}₂,₃    	4056.651	                          	        	3838  	-      	0
{25415}₂,₃     	4059.340	                          	        	3840  	-      	0
{34391}₂,₃     	4060.049	                          	        	3841  	-      	0
{2059}₂,₃      	4060.806	                          	        	3842  	-      	0
{2431/19}₂,₃   	4062.921	                          	        	3844.5	-      	0
{2717/17}₂,₃   	4062.921	                          	        	3844.5	-      	0
{3553/13}₂,₃   	4062.921	                          	        	3844.5	-      	0
{4199/11}₂,₃   	4062.921	                          	        	3844.5	-      	0
{625/53}₂,₃    	4063.947	                          	        	3847  	-      	0
{61/59}₂,₃     	4065.537	                          	        	3848  	-      	0
{475/43}₂,₃    	4066.088	                          	        	3849.5	-      	0
{1075/19}₂,₃   	4066.088	                          	        	3849.5	-      	0
{275/259}₂,₃   	4066.860	                          	        	3852  	-      	0
{925/77}₂,₃    	4066.860	                          	        	3852  	-      	0
{2849/25}₂,₃   	4066.860	                          	        	3852  	-      	0
{529/325}₂,₃   	4068.184	                          	        	3854  	-      	0
{1045/29}₂,₃   	4068.727	                          	        	3856.5	-      	0
{1595/19}₂,₃   	4068.727	                          	        	3856.5	-      	0
{2755/11}₂,₃   	4068.727	                          	        	3856.5	-      	0
{6061/5}₂,₃    	4068.727	                          	        	3856.5	-      	0
{2401/169}₂,₃  	4070.214	                          	        	3859  	-      	0
{4015}₂,₃      	4070.764	                          	        	3860  	-      	0
{3325/23}₂,₃   	4071.586	                          	        	3862  	-      	0
{4025/19}₂,₃   	4071.586	                          	        	3862  	-      	0
{10925/7}₂,₃   	4071.586	                          	        	3862  	-      	0
{385/361}₂,₃   	4075.177	                          	        	3865.5	-      	0
{1805/77}₂,₃   	4075.177	                          	        	3865.5	-      	0
{2527/55}₂,₃   	4075.177	                          	        	3865.5	-      	0
{3971/35}₂,₃   	4075.177	                          	        	3865.5	-      	0
{138125}₂,₃    	4076.606	                          	        	3868  	-      	0
{271}₂,₃       	4080.056	                          	        	3869  	-      	0
{215/143}₂,₃   	4080.355	                          	        	3871  	-      	0
{473/65}₂,₃    	4080.355	                          	        	3871  	-      	0
{559/55}₂,₃    	4080.355	                          	        	3871  	-      	0
{6251}₂,₃      	4080.514	                          	        	3873  	-      	0
{377/121}₂,₃   	4083.003	                          	        	3874  	-      	0
{175/71}₂,₃    	4084.144	                          	        	3875.5	-      	0
{1775/7}₂,₃    	4084.144	                          	        	3875.5	-      	0
{385/299}₂,₃   	4085.872	                          	        	3881.5	-      	0
{455/253}₂,₃   	4085.872	                          	        	3881.5	-      	0
{715/161}₂,₃   	4085.872	                          	        	3881.5	-      	0
{805/143}₂,₃   	4085.872	                          	        	3881.5	-      	0
{1001/115}₂,₃  	4085.872	                          	        	3881.5	-      	0
{1265/91}₂,₃   	4085.872	                          	        	3881.5	-      	0
{1495/77}₂,₃   	4085.872	                          	        	3881.5	-      	0
{1771/65}₂,₃   	4085.872	                          	        	3881.5	-      	0
{2093/55}₂,₃   	4085.872	                          	        	3881.5	-      	0
{3289/35}₂,₃   	4085.872	                          	        	3881.5	-      	0
{539/289}₂,₃   	4086.585	                          	        	3887.5	-      	0
{3179/49}₂,₃   	4086.585	                          	        	3887.5	-      	0
{37975}₂,₃     	4087.587	                          	        	3889  	-      	0
{101/65}₂,₃    	4092.994	                          	        	3890  	329    	2
{323/37}₂,₃    	4094.324	                          	        	3892  	-      	0
{629/19}₂,₃    	4094.324	                          	        	3892  	-      	0
{703/17}₂,₃    	4094.324	                          	        	3892  	-      	0
{119/61}₂,₃    	4099.991	                          	        	3895  	-      	0
{427/17}₂,₃    	4099.991	                          	        	3895  	-      	0
{1037/7}₂,₃    	4099.991	                          	        	3895  	-      	0
{3575/343}₂,₃  	4100.032	                          	        	3898  	-      	0
{3773/325}₂,₃  	4100.032	                          	        	3898  	-      	0
{4459/275}₂,₃  	4100.032	                          	        	3898  	-      	0
{163/25}₂,₃    	4100.154	                          	        	3900  	-      	0
{859375}₂,₃    	4102.919	                          	        	3901  	-      	0
{3757/125}₂,₃  	4106.803	                          	        	3902  	-      	0
{779/125}₂,₃   	4107.382	                          	        	3903  	-      	0
{5015}₂,₃      	4109.514	                          	        	3904  	-      	0
{2401/605}₂,₃  	4109.736	                          	        	3905  	-      	0
{91091}₂,₃     	4111.747	                          	        	3906  	-      	0
{2783/125}₂,₃  	4115.805	                          	        	3907  	-      	0
{527/245}₂,₃   	4117.865	                          	        	3908  	-      	0
{1007/25}₂,₃   	4118.133	                          	        	3909  	-      	0
{529/29}₂,₃    	4119.343	                          	        	3910  	-      	0
{211/5}₂,₃     	4122.315	                          	        	3911  	-      	0
{235/121}₂,₃   	4124.830	                          	        	3912  	-      	0
{2725}₂,₃      	4125.347	                          	        	3913  	-      	0
{361/161}₂,₃   	4125.873	                          	        	3914  	-      	0
{8029}₂,₃      	4126.014	                          	        	3915  	-      	0
{34969}₂,₃     	4128.285	                          	        	3916  	-      	0
{131/13}₂,₃    	4131.352	                          	        	3917  	604.5  	1
{637/145}₂,₃   	4133.619	                          	        	3919  	-      	0
{1421/65}₂,₃   	4133.619	                          	        	3919  	-      	0
{1885/49}₂,₃   	4133.619	                          	        	3919  	-      	0
{1391}₂,₃      	4134.361	                          	        	3921  	-      	0
{6923}₂,₃      	4134.569	                          	        	3922  	-      	0
{2809}₂,₃      	4135.472	                          	        	3923  	-      	0
{295/77}₂,₃    	4136.373	                          	        	3925  	-      	0
{413/55}₂,₃    	4136.373	                          	        	3925  	-      	0
{649/35}₂,₃    	4136.373	                          	        	3925  	-      	0
{2125/29}₂,₃   	4136.863	                          	        	3927.5	-      	0
{3625/17}₂,₃   	4136.863	                          	        	3927.5	-      	0
{1247/25}₂,₃   	4137.423	                          	        	3929  	-      	0
{565/7}₂,₃     	4138.102	                          	        	3930.5	-      	0
{791/5}₂,₃     	4138.102	                          	        	3930.5	-      	0
{841/55}₂,₃    	4140.108	                          	        	3932  	-      	0
{25921}₂,₃     	4140.160	                          	        	3933  	-      	0
{1235/343}₂,₃  	4140.172	                          	        	3934  	-      	0
{21175/13}₂,₃  	4141.869	                          	        	3935.5	-      	0
{39325/7}₂,₃   	4141.869	                          	        	3935.5	-      	0
{931/31}₂,₃    	4142.088	                          	        	3937.5	-      	0
{1519/19}₂,₃   	4142.088	                          	        	3937.5	-      	0
{875/323}₂,₃   	4143.422	                          	        	3940  	-      	0
{2125/133}₂,₃  	4143.422	                          	        	3940  	-      	0
{2375/119}₂,₃  	4143.422	                          	        	3940  	-      	0
{845/187}₂,₃   	4145.455	                          	        	3943.5	-      	0
{935/169}₂,₃   	4145.455	                          	        	3943.5	-      	0
{1859/85}₂,₃   	4145.455	                          	        	3943.5	-      	0
{2873/55}₂,₃   	4145.455	                          	        	3943.5	-      	0
{667/625}₂,₃   	4145.876	                          	        	3946  	-      	0
{415/13}₂,₃    	4146.157	                          	        	3947.5	-      	0
{1079/5}₂,₃    	4146.157	                          	        	3947.5	-      	0
{127/125}₂,₃   	4148.405	                          	        	3949  	-      	0
{65219/5}₂,₃   	4151.672	                          	        	3950  	-      	0
{203/47}₂,₃    	4152.102	                          	        	3952  	-      	0
{329/29}₂,₃    	4152.102	                          	        	3952  	-      	0
{1363/7}₂,₃    	4152.102	                          	        	3952  	-      	0
{179/7}₂,₃     	4153.463	                          	        	3954  	-      	0
{2734375}₂,₃   	4153.781	                          	        	3955  	-      	0
{1331/119}₂,₃  	4155.267	                          	        	3956  	-      	0
{89/85}₂,₃     	4156.080	                          	        	3957  	-      	0
{865}₂,₃       	4156.806	                          	        	3958  	-      	0
{2537}₂,₃      	4157.861	                          	        	3959  	-      	0
{32375}₂,₃     	4159.288	                          	        	3960  	-      	0
{935/31}₂,₃    	4159.884	                          	        	3962.5	-      	0
{1705/17}₂,₃   	4159.884	                          	        	3962.5	-      	0
{2635/11}₂,₃   	4159.884	                          	        	3962.5	-      	0
{5797/5}₂,₃    	4159.884	                          	        	3962.5	-      	0
{2233/125}₂,₃  	4163.902	                          	        	3965  	-      	0
{63175}₂,₃     	4167.795	                          	        	3966  	-      	0
{121/61}₂,₃    	4168.898	                          	        	3967  	-      	0
{13975}₂,₃     	4173.090	                          	        	3968  	-      	0
{139/35}₂,₃    	4174.290	                          	        	3969  	-      	0
{20735}₂,₃     	4175.799	                          	        	3970  	-      	0
{1175/49}₂,₃   	4175.965	                          	        	3971.5	-      	0
{2303/25}₂,₃   	4175.965	                          	        	3971.5	-      	0
{205/161}₂,₃   	4176.559	                          	        	3974  	-      	0
{287/115}₂,₃   	4176.559	                          	        	3974  	-      	0
{943/35}₂,₃    	4176.559	                          	        	3974  	-      	0
{52325}₂,₃     	4178.733	                          	        	3976  	-      	0
{70805}₂,₃     	4179.462	                          	        	3977  	-      	0
{109/19}₂,₃    	4180.352	                          	        	3978  	-      	0
{1691}₂,₃      	4180.528	                          	        	3979  	-      	0
{5005/19}₂,₃   	4182.419	                          	        	3982  	-      	0
{7315/13}₂,₃   	4182.419	                          	        	3982  	-      	0
{8645/11}₂,₃   	4182.419	                          	        	3982  	-      	0
{13585/7}₂,₃   	4182.419	                          	        	3982  	-      	0
{19019/5}₂,₃   	4182.419	                          	        	3982  	-      	0
{289/247}₂,₃   	4186.040	                          	        	3985  	-      	0
{161/53}₂,₃    	4187.491	                          	        	3987  	-      	0
{371/23}₂,₃    	4187.491	                          	        	3987  	-      	0
{1219/7}₂,₃    	4187.491	                          	        	3987  	-      	0
{629/175}₂,₃   	4190.098	                          	        	3989  	-      	0
{323/145}₂,₃   	4192.022	                          	        	3991  	-      	0
{493/95}₂,₃    	4192.022	                          	        	3991  	-      	0
{551/85}₂,₃    	4192.022	                          	        	3991  	-      	0
{205/47}₂,₃    	4193.009	                          	        	3994  	-      	0
{235/41}₂,₃    	4193.009	                          	        	3994  	-      	0
{1927/5}₂,₃    	4193.009	                          	        	3994  	-      	0
{42875/13}₂,₃  	4193.215	                          	        	3996  	-      	0
{85/73}₂,₃     	4194.120	                          	        	3998  	604.5  	1
{365/17}₂,₃    	4194.120	                          	        	3998  	-      	0
{1241/5}₂,₃    	4194.120	                          	        	3998  	-      	0
