2,3-           	        	                          	smallest
free           	        	notating                  	symbol  	      	Scala  	Scala
class          	        	symbol                    	subset  	N2D3P9	archive	archive
name           	N2D3P9  	classes                   	indices 	rank  	rank   	occurrences
{931}₂,₃       	245.681 	                          	        	241   	-      	0
{67}₂,₃        	249.389 	                          	        	242   	252.5  	3
{391}₂,₃       	249.806 	                          	        	243   	-      	0
{2125}₂,₃      	250.868 	                          	        	244   	-      	0
{125/121}₂,₃   	256.752 	                          	        	245   	604.5  	1
{215}₂,₃       	256.806 	                          	        	246   	-      	0
{319}₂,₃       	256.972 	                          	        	247   	-      	0
{805}₂,₃       	257.153 	                          	        	248   	-      	0
{77/19}₂,₃     	257.380 	                          	        	250   	186.5  	5
{133/11}₂,₃    	257.380 	                          	        	250   	604.5  	1
{209/7}₂,₃     	257.380 	                          	        	250   	329    	2
{41/25}₂,₃     	259.414 	                          	        	252   	604.5  	1
{53/5}₂,₃      	260.093 	                          	        	253   	164    	6
{1105}₂,₃      	260.903 	                          	        	254   	-      	0
{6875}₂,₃      	262.587 	                          	        	255   	-      	0
{29/17}₂,₃     	264.759 	                          	        	256   	186.5  	5
{21875}₂,₃     	265.842 	                          	        	257   	604.5  	1
{259}₂,₃       	266.194 	                          	        	258   	-      	0
{343/13}₂,₃    	268.366 	                          	        	259   	604.5  	1
{55/23}₂,₃     	269.398 	                          	        	261   	217.5  	4
{115/11}₂,₃    	269.398 	                          	        	261   	-      	0
{253/5}₂,₃     	269.398 	                          	        	261   	604.5  	1
{35/29}₂,₃     	272.546 	                          	        	264   	329    	2
{145/7}₂,₃     	272.546 	                          	        	264   	-      	0
{203/5}₂,₃     	272.546 	                          	        	264   	-      	0
{95/49}₂,₃     	272.978 	                          	        	266   	-      	0
{1045}₂,₃      	275.764 	                          	        	267   	-      	0
{37/11}₂,₃     	278.870 	                          	        	268   	59.5   	28
{437}₂,₃       	279.194 	                          	        	269   	-      	0
{71}₂,₃        	280.056 	                          	        	270   	-      	0
{143/49}₂,₃    	281.145 	                          	        	271   	-      	0
{169/125}₂,₃   	282.536 	                          	        	272   	-      	0
{1573}₂,₃      	284.014 	                          	        	273   	604.5  	1
{85/19}₂,₃     	284.120 	                          	        	275   	604.5  	1
{95/17}₂,₃     	284.120 	                          	        	275   	604.5  	1
{323/5}₂,₃     	284.120 	                          	        	275   	186.5  	5
{43/25}₂,₃     	285.340 	                          	        	277   	217.5  	4
{161/25}₂,₃    	285.725 	                          	        	278   	329    	2
